group,city,country,emoji,regular,workshop
Kadara Capoeira,Toronto,Canada,🇨🇦,TRUE,
Capoeira Raiz,Berlin,Germany,🇩🇪,TRUE,TRUE
Xará Capo,Göttingen,Germany,🇩🇪,,TRUE
Pressinha,Mannheim,Germany,🇩🇪,,
Arte Nacional,Stuttgart,Germany,🇩🇪,,
Capoeira Corrupio,Freiburg,Germany,🇩🇪,,
Capoeira de Besouro,Berlin,Germany,🇩🇪,TRUE,TRUE
Senzala,Stuttgart,Germany,🇩🇪,,TRUE
Capoeira Angola Bangkok,Bangkok,Thailand,🇹🇭,,
Associação de Capoeira Angola Dobrada,Freiburg,Germany,🇩🇪,,
Capoeira São Salomão Roma,Rome,Italy,🇮🇹,,
Mojubá,Los Angeles,United States,🇺🇸,,
Terrêru,Belo Horizonte,Brazil,🇧🇷,,
Escola de Capoeira Angola Ifé,Recife,Brazil,🇧🇷,,
Centro de Capoeira São Salomão,Recife,Brazil,🇧🇷,TRUE,
Nzinga DF,Brasilia,Brazil,🇧🇷,,
Capoeira Angola Toronto,Toronto,Canada,🇨🇦,,
Mojubá,London,England,🇬🇧,TRUE,TRUE
UR Capoeira,London,England,🇬🇧,,
Capoeira Bemvindo,London,England,🇬🇧,,
Oxford Capoeira Society,Oxford,England,🇬🇧,TRUE,
Dendê de Maré,London,England,🇬🇧,,
Academy of Capoeira,Goa,India,🇮🇳,,
Axé,Goa,India,🇮🇳,TRUE,
Semente do Jogo de Angola,Montreal,Canada,🇨🇦,,
Escola de Capoeira Angola Irmãos Gêmeos de Mestre Curió,Basel,Switzerland,🇨🇭,,
Preservação da Mandinga,Berlin,Germany,🇩🇪,,
Grupo de Capoeira Filh@s de Angola,Berlin,Germany,🇩🇪,TRUE,
Associação de capoeira angola navio negreiro (ACANNE),Lyon,France,🇫🇷,,
Mucambo Capoeira Angola,Brighton,England,🇬🇧,,
Associação de Capoeira Angola Relíquia Espinho Remoso (ACARER),Porto,Portugal,🇵🇹,TRUE,
Academia de Capoeira de Lisboa,Lisbon,Portugal,🇵🇹,,
Memórias De Angola,Lisbon,Portugal,🇵🇹,,
Ngoma,Berlin,Germany,🇩🇪,,
Mukânda,Berlin,Germany,🇩🇪,,
